Team,Opponent,Wins,Losses,ParentGame
Germany,Sweden,1,0,4
Argentina,Mexico,1,0,15
Italy,Australia,1,0,5
Ukraine,Switzerland,1,0,16
Germany,Argentina,1,0,6
Italy,Ukraine,1,0,17
Germany,Italy,0,1,7
Italy,France,1,0,26
England,Ecuador,1,0,12
Portugal,Netherlands,1,0,22
Brazil,Ghana,1,0,13
France,Spain,1,0,23
England,Portugal,0,1,14
Brazil,France,0,1,24
Portugal,France,0,1,25
Argentina,Germany,0,1,6
Ukraine,Italy,0,1,17
Italy,Germany,1,0,7
Ecuador,England,0,1,12
Netherlands,Portugal,0,1,22
Ghana,Brazil,0,1,13
Spain,France,0,1,23
Portugal,England,1,0,14
France,Brazil,1,0,24
France,Portugal,1,0,25
France,Italy,0,1,26
Italy,,1,0,
Australia,Italy,0,1,5
Switzerland,Ukraine,0,1,16
Mexico,Argentina,0,1,15
Sweden,Germany,0,1,4
