Team,Opponent,Wins,Losses,ParentGame
Argentina,Brazil,1,0,4
Yugoslavia,Spain,1,0,15
Ireland,Romania,1,0,5
Italy,Uruguay,1,0,16
Argentina,Yugoslavia,1,0,6
Ireland,Italy,0,1,17
Argentina,Italy,1,0,7
Argentina,GermanyFR,0,1,26
Czechoslovakia,CostaRica,1,0,12
GermanyFR,Netherlands,1,0,22
Cameroon,Colombia,1,0,13
England,Belgium,1,0,23
Czechoslovakia,GermanyFR,0,1,14
Cameroon,England,0,1,24
GermanyFR,England,1,0,25
Yugoslavia,Argentina,0,1,6
Italy,Ireland,1,0,17
Italy,Argentina,0,1,7
CostaRica,Czechoslovakia,0,1,12
Netherlands,GermanyFR,0,1,22
Colombia,Cameroon,0,1,13
Belgium,England,0,1,23
GermanyFR,Czechoslovakia,1,0,14
England,Cameroon,1,0,24
England,GermanyFR,0,1,25
GermanyFR,Argentina,1,0,26
GermanyFR,,1,0,
Romania,Ireland,0,1,5
Uruguay,Italy,0,1,16
Spain,Yugoslavia,0,1,15
Brazil,Argentina,0,1,4
