Team,Opponent,Wins,Losses,ParentGame
Germany,Paraguay,1,0,4
Mexico,UnitedStates,1,0,15
Spain,Ireland,1,0,5
Korea,Italy,1,0,16
Germany,UnitedStates,1,0,6
Spain,Korea,0,1,17
Germany,Korea,1,0,7
Germany,Brazil,0,1,26
England,Denmark,1,0,12
Brazil,Belgium,1,0,22
Senegal,Sweden,1,0,13
Turkey,Japan,1,0,23
England,Brazil,0,1,14
Senegal,Turkey,0,1,24
Brazil,Turkey,1,0,25
UnitedStates,Germany,0,1,6
Korea,Spain,1,0,17
Korea,Germany,0,1,7
Denmark,England,0,1,12
Belgium,Brazil,0,1,22
Sweden,Senegal,0,1,13
Japan,Turkey,0,1,23
Brazil,England,1,0,14
Turkey,Senegal,1,0,24
Turkey,Brazil,0,1,25
Brazil,Germany,1,0,26
Brazil,,1,0,
Ireland,Spain,0,1,5
Italy,Korea,0,1,16
UnitedStates,Mexico,0,1,15
Paraguay,Germany,0,1,4
