Team,Opponent,Wins,Losses,ParentGame
Romania,Argentina,1,0,4
Sweden,SaudiArabia,1,0,15
Netherlands,Ireland,1,0,5
Brazil,UnitedStates,1,0,16
Romania,Sweden,0,1,6
Netherlands,Brazil,0,1,17
Sweden,Brazil,0,1,7
Brazil,Italy,1,0,26
Bulgaria,Mexico,0,1,12
Germany,Belgium,1,0,22
Italy,Nigeria,1,0,13
Spain,Switzerland,1,0,23
Mexico,Germany,1,0,14
Italy,Nigeria,1,0,24
Mexico,Italy,0,1,25
Sweden,Romania,1,0,6
Brazil,Netherlands,1,0,17
Brazil,Sweden,1,0,7
Mexico,Bulgaria,1,0,12
Belgium,Germany,0,1,22
Nigeria,Italy,0,1,13
Switzerland,Spain,0,1,23
Germany,Mexico,0,1,14
Spain,Italy,0,1,24
Italy,Bulgaria,1,0,25
Italy,Brazil,0,1,26
Brazil,,1,0,
Ireland,Netherlands,0,1,5
UnitedStates,Brazil,0,1,16
SaudiArabia,Sweden,0,1,15
Argentina,Romania,0,1,4
