Team,Opponent,Wins,Losses,ParentGame
Brazil,Chile,1,0,4
Denmark,Nigeria,1,0,15
Netherlands,Yugoslavia,1,0,5
Argentina,England,1,0,16
Brazil,Denmark,1,0,6
Netherlands,Argentina,1,0,17
Brazil,Netherlands,1,0,7
Brazil,France,0,1,26
Italy,Norway,1,0,12
France,Paraguay,1,0,22
Germany,Mexico,1,0,13
Croatia,Romania,1,0,23
Italy,France,0,1,14
Croatia,Germany,1,0,24
France,Croatia,1,0,25
Denmark,Brazil,0,1,6
Argentina,Netherlands,0,1,17
Netherlands,Brazil,0,1,7
Norway,Italy,0,1,12
Paraguay,France,0,1,22
Mexico,Germany,0,1,13
Romania,Croatia,0,1,23
France,Italy,1,0,14
Germany,Croatia,0,1,24
Croatia,France,0,1,25
France,Brazil,1,0,26
France,,1,0,
Yugoslavia,Netherlands,0,1,5
England,Argentina,0,1,16
Nigeria,Denmark,0,1,15
Chile,Brazil,0,1,4
